YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MS	EQ_MAG_MB	INTENSITY	COUNTRY	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	MISSING	INJURIES	DAMAGE_MILLIONS_DOLLARS	HOUSES_DESTROYED	HOUSES_DAMAGED
1992	6	28	11	57	34.1	1	7.6	7.6	6.2	9	USA	"CALIFORNIA: LANDERS, YUCCA  VALLEY"	34.201	-116.436	150	3		400	92		
1992	6	28	15	5	30.7	5	6.7	6.7	6.3	8	USA	"CALIFORNIA: BIG BEAR LAKE, BIG BEAR CITY"	34.203	-116.827	150						
1992	6	29	10	14	22.2	9	5.4	5.4	5.6		USA	NEVADA-CALIFORNIA BORDER:  NEVADA TEST SITE	36.705	-116.293	150						
1992	8	19	2	4	37.4	27	7.5	7.5	6.6	9	KYRGYZSTAN	KYRGYZSTAN:  TOLUK	42.142	73.575	40	75			130	8200	
1992	8	28	0	50	50.4	9	5.5	5.5	5.5		PAKISTAN	PAKISTAN:  KALAT	29.087	66.74	60	4		200			
1992	9	2	0	16	2.8	40	7.7	7.7	5.4		NICARAGUA	NICARAGUA:  MASACHAPA; COSTA RICA	11.727	-87.386	100						
1992	9	8	0	38	15.4	18	4.7	4.7	5.2		IRAN	IRAN:  FIRUZABAD	29.134	52.187	140	1		11		200	
1992	9	11	3	57	26.5	11	7	7	6.7		CONGO	CONGO:  KABALO	-6.087	26.651	10	8		37			
1992	10	12	13	9	55.5	22	5.3	5.3	5.9		EGYPT	EGYPT:  CAIRO	29.778	31.144	15	545		6512	1200	9350	9350
1992	10	17	8	32	40.5	14	7	7	6.2		COLOMBIA	"COLOMBIA:  MURINDO, CALI"	6.845	-76.806	160			20			
1992	10	18	15	11	59.1	10	7.4	7.4	6.6		COLOMBIA	"COLOMBIA:  MURINDO, APARTADO, MEDELLIN"	7.075	-76.862	160	11		115			
1992	12	12	5	29	26.3	28	7.8	7.5	6.5		INDONESIA	"INDONESIA:  FLORES REGION, MAUMERE, BABI"	-8.48	121.896	60	1000		500	100	31785	
1993	1	15	11	6	5.9	102	7.6	7.1	6.9	6	JAPAN	"JAPAN:  HOKKADIO, KUSHIRO, HACHINOHE, HONSHU"	43.3	143.691	30	2			358		
1993	1	26	20	32	6.9	33	5.6	5.6	5.4		CHINA	CHINA:  YUNNAN PROVINCE	23.027	101.062	30			66		28417	28417
1993	1	27	10	27	5.6	33	5.1		5.1		IRAN	IRAN:  NEHBANDAN	32.104	60.088	140						
1993	2	7	13	27	42	11	6.3	6.2	6.3		JAPAN	"JAPAN:  HONSHU:  ISHIKAWA, TOYAMA, NIIGATA"	37.634	137.245	30						
1993	3	12	14	1	35.4	10	6.4	6.4	6		WALLIS AND FUTUNA (FRENCH TERRITORY)	FUTUNA ISLAND	-14.385	-178.252	170	5		201			
1993	3	20	14	51	59.7	12	6.2	6	5.8		CHINA	CHINA:  TIBET (XIZANG PROVINCE): NGAMRING	29.084	87.333	40	2		3			
1993	3	25	13	34	35.4	21	5.6	5.4	5.5	7	USA	WASHINGTON-OREGON BORDER	45.035	-122.607	150				28.4		
1993	3	26	22	52	46.9	30	5.1	4.8	5.1		IRAN	IRAN:  BOVIR AHMADI VA KOHKILUYEH	30.692	50.886	140						
1993	4	18	9	16	23.2	106	6.3		6		PERU	PERU:  LIMA	-11.652	-76.53	160	6					
1993	6	8	13	3	36.4	71	7.5	7.3	6.4		RUSSIA	RUSSIA:  KAMCHATKA	51.218	157.829	50						
1993	6	22	16	32	43.7	33	5.4	4.8	5.5		IRAN	IRAN:  BOVIR AHMADI VA KOHKILUYEH	30.149	50.814	140	24					
1993	7	10	20	40	58.9	20	5.8	5.6	5.3		COSTA RICA	"COSTA RICA:  TURRIALBA, CARTAGO"	9.821	-83.622	100	2		9			
1993	7	12	13	17	11.9	17	7.7	7.6	6.6	8	JAPAN	JAPAN:  HOKKAIDO; RUSSIA:  SOUTHEAST; SOUTH KOREA	42.851	139.197	30	23		233	1207		
1993	7	14	12	31	49.4	23	5.6	5.5	5.3		GREECE	GREECE:  PATRAS	38.224	21.756	130						
1993	8	1	0	20	40.5	13	5.5	5.1	5.2		SUDAN	SUDAN:  KHARTOUM	15.385	31.69	15	2		9			
1993	8	8	8	34	24.9	59	7.8	8	7.1	9	USA TERRITORY	"GUAM:  TUMAN BAY, APRA HARBOR"	12.982	144.801	170			48	250		
1993	9	10	19	12	54.6	34	7.2	7.3	6.2		GUATEMALA	GUATEMALA:  SOUTHWEST; MEXICO:  CHIAPAS	14.717	-92.645	100	1		3			
1993	9	21	3	28	55.4	11	6	5.8	5.7	7	USA	OREGON:  KLAMATH FALLS	42.314	-122.012	150	2			7.5		
1993	9	29	22	25	48.6	7	6.2	6.2	6.3	8	INDIA	"INDIA:  LATUR-OSMANABAD, KILLARI"	18.066	76.451	60	11000		30000	300		
1993	10	13	2	6	0.3	25	6.9	7	6.4		PAPUA NEW GUINEA	PAPUA NEW GUINEA:  EASTERN:  UPPER MARKHAM VALLEY	-5.889	146.02	170	60		200	5		
1993	10	20	16	15	59.6	37	5.1		5.1		NEPAL	NEPAL: NW; INDIA:  UTTAR PRADESH	28.723	82.28	60						
1993	11	12	13	27	28.1	10	4.6		4.6		INDIA	INDIA:  LATUR	18.12	76.533	60			25			
1993	11	30	20	37	12.8	18	5.6	5.6	5.2		CHINA	CHINA:  SOUTHERN XINJIANG:  SHUFU	39.263	75.533	40			4		100	
1994	1	3	5	52	27.6	8	5.7	5.5	5.8		CHINA	CHINA:  QINGHAI PROVINCE:  GONGHE	36.028	100.104	30			5		56	56
